Date,usd2usd,usd2eu,usd2can,usd2uk,usd2inr,usd2jp
2019-04-13,1,1.0756,1.3634,0.8258,82.7105,132.6352
2019-04-14,1,1.0722,1.3655,0.822,82.593,136.488
2019-04-15,1,1.0749,1.366,0.8215,82.7046,137.0468
2019-04-16,1,1.077,1.3599,0.8115,82.794,136.5879
2019-04-17,1,1.0795,1.3561,0.8087,82.4899,134.9235
2019-04-18,1,1.0685,1.36,0.8132,82.7847,137.3637
2019-04-19,1,1.0717,1.366,0.8143,82.6103,137.1521
2019-04-20,1,1.0713,1.3619,0.814,82.3501,135.7136
2019-04-21,1,1.0637,1.3601,0.82,82.399,136.6575
2019-04-22,1,1.0643,1.3664,0.8207,82.3364,137.183
2019-04-23,1,1.0652,1.3623,0.8194,82.3968,136.2971
2019-04-24,1,1.0702,1.3411,0.8131,81.7275,135.1374
2019-04-25,1,1.0716,1.3437,0.8147,81.2711,134.1051
2019-04-26,1,1.0594,1.3448,0.8199,81.2445,136.2923
2019-04-27,1,1.053,1.3513,0.8335,81.3623,139.0517
2019-04-28,1,1.0511,1.3511,0.8317,81.6658,138.2983
2019-04-29,1,1.0599,1.344,0.8277,81.6563,138.488
2019-04-30,1,1.0548,1.3363,0.8278,81.6525,139.3928
